text,intent
What are the limits to where my card will be accepted?,card_acceptance
I would like to change currency,exchange_via_app
I have lost my credit card in the ATM!,card_swallowed
My card still hasn't been delivered,card_arrival
Can you deliver the PIN separately?,get_physical_card
I am 16 and just started working at McDonalds can I deposit my checks at your bank?,age_limit
Whats the maximum number of disposable cards that I can get?,disposable_card_limits
Been trying to transfer money this morning but keep getting rejected. I don't understand why this is happening.,failed_transfer
Why is the exchange rate different from what I expected?,card_payment_wrong_exchange_rate
How do I withdraw money?,atm_support
What do I do when a charge has been made that I did not make?,cash_withdrawal_not_recognised
"I thought transfers were free, why was I charged?",transfer_fee_charged
I was charged multiple times for one purchase,transaction_charged_twice
"How long does it typically take a transfer to go through?  I sent some money to a friend earlier today, and she really needs it.  It still is a pending transfer, even though I sent it a few hours ago.",transfer_not_received_by_recipient
Why is there a fee added to my statement?,extra_charge_on_statement
"Hae, I already completed my 3D secure authentication when I tried the crypto top up but it's still not working for me. I also don't understand what happened to the money in my account",top_up_reverted
"I would like to make a purchase, however my card has been declined. I would like to ask the reason for this. The past two weeks, the card has been working fine.",reverted_card_payment?
I'd like to know how transferring my money into my account works.,transfer_into_account
Purchases I did not make are appearing in my bank statement?,direct_debit_payment_not_recognised
What is the fee for topping up a US card?,top_up_by_card_charge
"The ATM at Metro bank on High St. Kensington didn't return my card, and the bank is now closed. How do I get back a card swallowed by an ATM?",card_swallowed
"There seems to be an additional charge of £1 on my statement, what is the reason for this?",extra_charge_on_statement
Why was my top-up rejected?,top_up_failed
I've been trying to do a transfer multiple times and have failed? Is the system down?,failed_transfer
How long does it take for money to transfer?,balance_not_updated_after_bank_transfer
I haven't received my card.,card_arrival
Fix my top up,top_up_failed
Can I top up my card with other cards?,supported_cards_and_currencies
What's the transfer time from Europe?,transfer_timing
I've been charged an extra £1 and I don't know why,extra_charge_on_statement
What countries can I use the card in?,country_support
Why won't my transfer go through?,failed_transfer
"Hi, I'm trying to by some crypto and the app isn't allowing it. I really want to exchange this, what am I doing wrong?",beneficiary_not_allowed
This is the first time I've tried to get my money out of an ATM and it didn't work. Please give me my money,declined_cash_withdrawal
Is it free to exchange currency?,exchange_charge
I want one of the virtual cards!,getting_virtual_card
Can I get an update on my replacement card?,card_arrival
Can you help me get Top Up to work in the Apple Pay function?,apple_pay_or_google_pay
Am I able to do a SWIFT transfer with you?,top_up_by_bank_transfer_charge
I want to close my account. The service you provide is unsatisfactory to me.,terminate_account
"My card info was stolen, what do I do?",compromised_card
"I need to add a serious amount of cash to my card, how do I do that?",top_up_limits
I made a transfer and was charged extra. Why?,transfer_fee_charged
Are there any fees when exchanging to foreign currencies?,exchange_charge
My PIN has been blocked.,pin_blocked
Do you issue cards for someone living in the US?,country_support
What factors effect the exchange rate?,exchange_rate
What is the cause of the delay in applying my card payment to my account?,pending_card_payment
Can I top up?,top_up_limits
After trying to update my account balance yesterday by cheque it doesn't seem to working. Shouldn't the process be quicker? I need my account looked at because there appears to be a problem.,balance_not_updated_after_cheque_or_cash_deposit
want to know where funds come from,verify_source_of_funds
I would like to cancel my previous purchase.,request_refund
Please tell me what the exchange fee is.,exchange_charge
what is the exchange rate for foreign ATMs,wrong_exchange_rate_for_cash_withdrawal
I want a real card,order_physical_card
Is it possible for a friend to personally send me a payment?,receiving_money
Are there limits as to where my card will be accepted?,card_acceptance
Are purchases returnable for full refund?,request_refund
There is an extra small charge on my card! What do I do?,extra_charge_on_statement
What do the disposable cards do?,get_disposable_virtual_card
Why hasnt my top up gone through yet?? I thought it was suppose to be instant? Am I wrong? Why is it still pending?,pending_top_up
Why was I declined from getting cash?,declined_cash_withdrawal
I need a disposable virtual card. Please tell me how to order one.,get_disposable_virtual_card
I need you to delete my account now.,terminate_account
I bought an item that I was charged a different exchange rate for.,card_payment_wrong_exchange_rate
"Please help! I was looking at my account and saw a transaction with a seller I don't remember. Is it possible for you to track the sale, because I really don't think I made a payment to them.",direct_debit_payment_not_recognised
Can I have a card even if I am not living in the UK?,country_support
What is the maximum top up?,top_up_limits
What if there is an error on the exchange rate?,card_payment_wrong_exchange_rate
"I made a card payment, but it has been declined?",declined_card_payment
Do you charge a fee for topping up a card?,top_up_by_card_charge
What could possibly be the cause of my failed transfer?,failed_transfer
Did I do something incorrectly? Where is my top-up?,pending_top_up
Why do you need all these details about my identity?,why_verify_identity
Is my top up not working?,pending_top_up
Is there a fee for sending out more cards?,getting_spare_card
My card has been lost! help!,lost_or_stolen_card
"I got this stupid fee after taking cash out, why?",cash_withdrawal_charge
What is the age limit?,age_limit
The attempted transfer failed.,failed_transfer
I didn't receive the amount of cash I requested for the ATM.,wrong_amount_of_cash_received
Can i make several disposable cardsper day?,disposable_card_limits
How can my friend send money to me?,receiving_money
There is a pending payment on my account that is very strange. I don't remember making this and it won't go away. Can you help me figure this out?,extra_charge_on_statement
I want to know how to transfer money with my credit card,topping_up_by_card
What do I have to do to get my virtual card?,getting_virtual_card
How can I tell if there will be a fee added to my payment or not?,card_payment_fee_charged
Please help!  The app won't let me cancel a money transfer.  I accidently sent money to an account that wasn't mine.  I need this cancelled immediately.,cancel_transfer
My app shows a money withdrawal that I did not do.,cash_withdrawal_not_recognised
I need to move money from another bank to this account.,transfer_into_account
"If there isn't a lot of money left, will it automatically top-up money?",automatic_top_up
the transfer went through but now it has been pending for quite a while. i need this to go through already,pending_transfer
There is a payment that I made that hasn't gone through yet.,pending_card_payment
I made a cash withdrawal at an ATM but it still says pending in my account.,pending_cash_withdrawal
I made a payment but it's still pending,pending_card_payment
What about my children?,age_limit
I found my card again. Can I put it back into the app?,card_linking
